DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists,season,post_season_qualification
"Thu, 28 Oct",vs Houston,W132-128,1-0,Ellis  46,Lee  15,Curry  11,2010/2011,not qualified
"Sat, 30 Oct",vs LA,W109-91,2-0,Wright  24,Lee  12,Ellis  11,2010/2011,not qualified
"Mon, 1 Nov",@ Los Angeles,L107-83,2-1,Ellis  20,Carney  8,Biedrins  4,2010/2011,not qualified
"Thu, 4 Nov",vs Memphis,W115-109,3-1,Ellis  39,Lee  16,Ellis  8,2010/2011,not qualified
"Sat, 6 Nov",vs Utah,W85-78,4-1,Ellis  23,Biedrins  20,Curry  6,2010/2011,not qualified
"Sun, 7 Nov",@ Detroit,L102-97,4-2,Ellis  24,Biedrins  13,Curry  6,2010/2011,not qualified
"Tue, 9 Nov",@ Toronto,W109-102,5-2,Curry  34,Lee  12,Curry  4,2010/2011,not qualified
"Thu, 11 Nov",@ New York,W122-117,6-2,Lee  28,Lee  10,Curry  8,2010/2011,not qualified
"Fri, 12 Nov",@ Chicago,L120-90,6-3,Ellis  24,Wright  8,Curry  6,2010/2011,not qualified
"Sun, 14 Nov",@ Milwaukee,L79-72,6-4,Ellis  24,Biedrins  9,Ellis  8,2010/2011,not qualified
"Tue, 16 Nov",vs Detroit,W101-97,7-4,Ellis  27,Gadzuric  11,Wright  6,2010/2011,not qualified
"Sat, 20 Nov",vs New York,L125-119,7-5,Ellis  40,Biedrins  8,Curry  8,2010/2011,not qualified
"Mon, 22 Nov",@ Los Angeles,L117-89,7-6,Wright  16,Adrien  10,Ellis  3,2010/2011,not qualified
"Tue, 23 Nov",vs Denver,L106-89,7-7,Ellis  20,Gadzuric  11,Curry  5,2010/2011,not qualified
"Thu, 25 Nov",@ Houston,L111-101,7-8,Wright  24,Biedrins  10,Curry  6,2010/2011,not qualified
"Sat, 27 Nov",@ Memphis,L116-111,7-9,Biedrins  28,Biedrins  21,Ellis  8,2010/2011,not qualified
"Sun, 28 Nov",@ Minnesota,W104-94,8-9,Wright  30,Biedrins  12,Ellis  11,2010/2011,not qualified
"Wed, 1 Dec",vs San Antonio,L118-98,8-10,Curry  32,Biedrins  18,Curry  5,2010/2011,not qualified
"Fri, 3 Dec",vs Phoenix,L107-101,8-11,Ellis  38,Wright  10,Ellis  7,2010/2011,not qualified
"Mon, 6 Dec",@ Oklahoma City,L114-109,8-12,Curry  39,Wright  11,Curry  6,2010/2011,not qualified
"Wed, 8 Dec",@ Dallas,L105-100,8-13,Curry  21,Wright  11,Lee  7,2010/2011,not qualified
"Thu, 9 Dec",@ San Antonio,L111-94,8-14,Williams  31,Lee  13,Ellis  6,2010/2011,not qualified
"Sat, 11 Dec",vs Miami,L106-84,8-15,Ellis  20,Wright  10,Ellis  7,2010/2011,not qualified
"Tue, 14 Dec",@ Utah,L108-95,8-16,Wright  20,Lee  12,Williams  6,2010/2011,not qualified
"Wed, 15 Dec",vs Minnesota,W108-99,9-16,Ellis  34,Biedrins  12,Ellis  6,2010/2011,not qualified
"Sun, 19 Dec",@ Portland,L96-95,9-17,Ellis  26,Lee  11,Ellis  5,2010/2011,not qualified
"Tue, 21 Dec",vs Houston,L121-112,9-18,Ellis  44,Amundson  7,Ellis  7,2010/2011,not qualified
"Wed, 22 Dec",@ Sacramento,W117-109 OT,10-18,Ellis  36,Lee  12,Ellis  7,2010/2011,not qualified
"Sun, 26 Dec",vs Portland,W109-102,11-18,Ellis  39,Wright  8,Curry  11,2010/2011,not qualified
"Tue, 28 Dec",vs Philadelphia,W110-95,12-18,Wright  28,Lee  16,Ellis  12,2010/2011,not qualified
"Thu, 30 Dec",@ Atlanta,L103-93,12-19,Wright  32,Wright  11,Curry  12,2010/2011,not qualified
"Fri, 31 Dec",@Charlotte,W96-95,13-19,Ellis  25,Lee  8,Ellis  5,2010/2011,not qualified
"Sun, 2 Jan",@ Miami,L114-107,13-20,Wright  30,Lee  12,Ellis  7,2010/2011,not qualified
"Tue, 4 Jan",@ Orlando,L110-90,13-21,Ellis  20,Ellis  7,Curry  5,2010/2011,not qualified
"Thu, 6 Jan",@New Orleans,W110-103,14-21,Ellis  29,Amundson  12,Curry  5,2010/2011,not qualified
"Sat, 8 Jan",vs Cleveland,W116-98,15-21,Ellis  32,Lee  14,Ellis  10,2010/2011,not qualified
"Sun, 9 Jan",@ LA,L105-91,15-22,Wright  27,Gadzuric  7,Ellis  6,2010/2011,not qualified
