date,opponent,result,w-l,hi_rebounds,hi_assists,season,hi_points_player,hi_points_scored
"Thu, 28 Oct",Houston,W132-128,1-0,Lee  15,Curry  11,2010/2011,Ellis,46
"Sat, 30 Oct",Los Angeles,W109-91,2-0,Lee  12,Ellis  11,2010/2011,Wright,24
"Mon, 1 Nov",Los Angeles,L107-83,2-1,Carney  8,Biedrins  4,2010/2011,Ellis,20
"Thu, 4 Nov",Memphis,W115-109,3-1,Lee  16,Ellis  8,2010/2011,Ellis,39
"Sat, 6 Nov",Utah,W85-78,4-1,Biedrins  20,Curry  6,2010/2011,Ellis,23
"Sun, 7 Nov",Detroit,L102-97,4-2,Biedrins  13,Curry  6,2010/2011,Ellis,24
"Tue, 9 Nov",Toronto,W109-102,5-2,Lee  12,Curry  4,2010/2011,Curry,34
"Thu, 11 Nov",New York,W122-117,6-2,Lee  10,Curry  8,2010/2011,Lee,28
"Fri, 12 Nov",Chicago,L120-90,6-3,Wright  8,Curry  6,2010/2011,Ellis,24
"Sun, 14 Nov",Milwaukee,L79-72,6-4,Biedrins  9,Ellis  8,2010/2011,Ellis,24
"Tue, 16 Nov",Detroit,W101-97,7-4,Gadzuric  11,Wright  6,2010/2011,Ellis,27
"Sat, 20 Nov",New York,L125-119,7-5,Biedrins  8,Curry  8,2010/2011,Ellis,40
"Mon, 22 Nov",Los Angeles,L117-89,7-6,Adrien  10,Ellis  3,2010/2011,Wright,16
"Tue, 23 Nov",Denver,L106-89,7-7,Gadzuric  11,Curry  5,2010/2011,Ellis,20
"Thu, 25 Nov",Houston,L111-101,7-8,Biedrins  10,Curry  6,2010/2011,Wright,24
"Sat, 27 Nov",Memphis,L116-111,7-9,Biedrins  21,Ellis  8,2010/2011,Biedrins,28
"Sun, 28 Nov",Minnesota,W104-94,8-9,Biedrins  12,Ellis  11,2010/2011,Wright,30
"Wed, 1 Dec",San Antonio,L118-98,8-10,Biedrins  18,Curry  5,2010/2011,Curry,32
"Fri, 3 Dec",Phoenix,L107-101,8-11,Wright  10,Ellis  7,2010/2011,Ellis,38
"Mon, 6 Dec",Oklahoma City,L114-109,8-12,Wright  11,Curry  6,2010/2011,Curry,39
"Wed, 8 Dec",Dallas,L105-100,8-13,Wright  11,Lee  7,2010/2011,Curry,21
"Thu, 9 Dec",San Antonio,L111-94,8-14,Lee  13,Ellis  6,2010/2011,Williams,31
"Sat, 11 Dec",Miami,L106-84,8-15,Wright  10,Ellis  7,2010/2011,Ellis,20
"Tue, 14 Dec",Utah,L108-95,8-16,Lee  12,Williams  6,2010/2011,Wright,20
"Wed, 15 Dec",Minnesota,W108-99,9-16,Biedrins  12,Ellis  6,2010/2011,Ellis,34
"Sun, 19 Dec",Portland,L96-95,9-17,Lee  11,Ellis  5,2010/2011,Ellis,26
"Tue, 21 Dec",Houston,L121-112,9-18,Amundson  7,Ellis  7,2010/2011,Ellis,44
"Wed, 22 Dec",Sacramento,W117-109 OT,10-18,Lee  12,Ellis  7,2010/2011,Ellis,36
"Sun, 26 Dec",Portland,W109-102,11-18,Wright  8,Curry  11,2010/2011,Ellis,39
"Tue, 28 Dec",Philadelphia,W110-95,12-18,Lee  16,Ellis  12,2010/2011,Wright,28
"Thu, 30 Dec",Atlanta,L103-93,12-19,Wright  11,Curry  12,2010/2011,Wright,32
"Fri, 31 Dec",Charlotte,W96-95,13-19,Lee  8,Ellis  5,2010/2011,Ellis,25
"Sun, 2 Jan",Miami,L114-107,13-20,Lee  12,Ellis  7,2010/2011,Wright,30
"Tue, 4 Jan",Orlando,L110-90,13-21,Ellis  7,Curry  5,2010/2011,Ellis,20
"Thu, 6 Jan",New Orleans,W110-103,14-21,Amundson  12,Curry  5,2010/2011,Ellis,29
"Sat, 8 Jan",Cleveland,W116-98,15-21,Lee  14,Ellis  10,2010/2011,Ellis,32
"Sun, 9 Jan",Los Angeles,L105-91,15-22,Gadzuric  7,Ellis  6,2010/2011,Wright,27
"Thu, 13 Jan",Los Angeles,L115-110,15-23,Wright  7,Curry  10,2010/2011,Ellis,38
